AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Gesture
-10136,4844,19888,-1890,4320,-13790,1
-10648,4308,19560,-1229,2822,-13816,1
-10420,4368,19588,-754,1665,-13252,1
-10004,4368,19512,-813,1143,-12777,1
-9764,4436,19452,-836,697,-12328,1
-9412,4376,19192,-701,385,-12080,1
-9300,4032,18464,-584,381,-11766,1
-9800,3576,18340,-231,54,-11516,1
-10288,3252,17824,608,-845,-10985,1
1568,-7028,17860,-698,-1409,408,1
1864,-7012,17964,-771,-1551,310,1
2124,-7016,17964,-761,-1498,156,1
2420,-7324,17992,-517,-1372,-5,1
2512,-7384,18064,-308,-1051,-103,1
2384,-7144,17848,-28,-615,-16,1
2260,-7012,17936,218,-211,27,1
2092,-6988,17768,517,145,113,1
1992,-6992,17880,704,540,158,1
1416,-6772,17868,807,585,241,1
528,-7120,18008,1357,-1691,1573,1
736,-7236,17804,1514,-1683,1940,1
856,-7268,17936,1712,-1773,2218,1
1108,-7072,17836,1877,-1759,2587,1
1392,-6956,17808,1861,-1665,2759,1
1704,-7288,17564,1770,-1283,2481,1
1676,-7312,17876,1885,-1226,2242,1
1252,-7108,17852,2052,-1509,2281,1
1024,-7032,17800,2288,-1790,2712,1
1184,-6604,17768,2323,-1854,3037,1
2612,-6632,17624,1920,-1327,1694,1
2508,-6680,17836,1795,-986,1558,1
2220,-6664,18000,1681,-780,1632,1
2196,-6192,18144,1476,-474,1860,1
1952,-6580,18124,1350,-342,1905,1
2028,-6600,18276,1295,-184,1419,1
2100,-6772,18220,1265,-24,884,1
2216,-6752,18260,1184,258,193,1
1908,-6812,18384,1150,171,-401,1
2020,-6508,18240,739,143,-1048,1
1956,-6152,18596,147,3867,-4450,1
1760,-6776,18828,221,3951,-4827,1
1504,-6744,18884,429,4021,-5198,1
1320,-5992,18952,465,3841,-5084,1
944,-5648,18856,256,3844,-4515,1
796,-5648,18760,54,3745,-3852,1
720,-5676,18804,-150,3576,-3309,1
816,-5744,18668,-352,3297,-3264,1
1064,-5544,18516,-749,2896,-3650,1
1040,-5872,18696,-1015,2470,-4420,1
896,-5264,18400,-1950,843,-5289,1
816,-5372,18564,-1940,741,-4903,1
1208,-5276,18452,-1812,795,-4377,1
1480,-5236,18104,-1803,1358,-3949,1
1492,-4920,17856,-2126,1970,-3799,1
756,-4768,18140,-2567,2182,-3829,1
296,-5156,18416,-2888,1654,-4077,1
220,-5928,18644,-2736,852,-4771,1
760,-5940,18504,-2720,518,-5610,1
928,-6324,18652,-2530,516,-5959,1
480,-5852,18196,-1724,1442,-5948,1
728,-6120,18492,-1580,1927,-5901,1
640,-6276,18636,-1232,2579,-5609,1
720,-6136,18424,-794,3430,-5086,1
472,-6064,18476,-382,4257,-4451,1
-200,-6084,18956,-29,4628,-4293,1
-788,-5824,18780,-49,4359,-4385,1
-1208,-5500,19000,-296,3675,-4781,1
-1352,-5616,18988,-483,2691,-5123,1
-1112,-5496,18756,-703,1852,-5504,1
-288,-5072,18536,-635,1935,-4866,1
-268,-4892,18420,-879,1588,-4878,1
120,-4988,18128,-1085,1498,-4593,1
476,-5028,17980,-1258,1784,-4244,1
488,-5320,17928,-1327,2194,-4070,1
128,-5880,18128,-1086,2355,-4057,1
208,-5760,18404,-826,2262,-4276,1
148,-5536,18360,-838,2065,-4412,1
144,-5384,18188,-872,1769,-4554,1
220,-5252,17932,-926,1702,-4590,1
-12,-5700,18372,-985,2131,-4091,1
-204,-5872,18428,-899,2120,-3921,1
-116,-6180,18328,-706,2094,-3807,1
-144,-6020,18480,-513,2080,-3813,1
-128,-5836,18444,-312,2023,-3977,1
-128,-5500,18536,-283,1938,-4116,1
-392,-5708,18540,-223,1939,-4275,1
-524,-5464,18776,-251,1652,-4116,1
-520,-5196,18800,-204,1540,-3729,1
-476,-5228,19148,-252,1401,-3224,1
-120,-5208,18400,-825,1444,-4461,1
-232,-5236,18448,-926,1392,-4406,1
-472,-5060,18632,-1105,1128,-4451,1
-460,-5224,18588,-1266,724,-4473,1
-96,-5272,18512,-1469,327,-4577,1
204,-5480,18512,-1479,145,-4669,1
504,-5480,18524,-1349,187,-4677,1
596,-5720,18360,-1160,361,-4532,1
568,-5708,18500,-1014,696,-4354,1
