AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1876,-4344,19148,-607,-456,-481
2160,-3992,19280,-764,-528,-419
2232,-4116,19272,-855,-198,-347
2148,-4000,19244,-936,311,-219
1820,-4168,19444,-991,582,-235
1388,-4148,19280,-1033,473,-332
1096,-4216,19272,-960,258,-533
828,-4032,19332,-995,206,-746
1220,-3860,19468,-1029,594,-914
1108,-3900,19496,-1267,1313,-1016
740,-3996,19468,-1846,3370,-1394
328,-4012,19272,-1922,4053,-1664
60,-4196,19132,-1850,4380,-1919
12,-3996,19260,-1713,4227,-2037
-312,-4068,19452,-1683,3838,-2049
-416,-4232,19788,-1628,3155,-2229
-256,-4500,20232,-1648,2606,-2490
320,-4260,20356,-1856,2618,-2757
840,-4284,20276,-2191,3257,-2888
932,-4176,19916,-2240,3698,-2971
264,-4284,19524,-1978,2448,-2504
96,-4360,19604,-1770,1553,-2440
-268,-4412,19800,-1569,734,-2509
-264,-4416,19992,-1598,254,-2700
168,-4196,20168,-1800,232,-2928
512,-4340,20296,-2002,597,-3126
700,-4236,19832,-2193,1079,-3221
664,-4232,19588,-2224,1319,-3155
336,-4348,19388,-2179,1044,-3078
-24,-4408,19144,-2013,172,-3048
232,-4588,19396,-1850,-1189,-3317
800,-4508,19244,-1942,-919,-3630
1184,-4400,19028,-2105,-312,-3656
1156,-4444,18772,-2126,371,-3629
1068,-4480,18528,-2125,557,-3496
736,-4552,18500,-1897,93,-3403
712,-4688,18740,-1751,-652,-3423
876,-4564,18884,-1754,-1156,-3477
908,-4612,18700,-1850,-1130,-3568
1040,-4520,18516,-1948,-573,-3790
968,-4812,18108,-1919,129,-3860
956,-4860,18064,-1646,-321,-4019
1004,-4684,18184,-1431,-934,-4153
1424,-4584,18556,-1344,-1196,-4087
1552,-4344,18492,-1405,-1076,-3980
1392,-4632,18580,-1546,-623,-3910
1272,-4612,18632,-1630,-369,-3891
1216,-4572,18648,-1642,-378,-4044
1068,-4488,18480,-1554,-627,-4203
1144,-4544,18368,-1518,-782,-4180
1200,-4736,18888,-1125,-1714,-4223
1312,-4788,19352,-1162,-1960,-4363
1752,-4560,19636,-1412,-1521,-4607
2196,-4400,19640,-1800,-652,-4829
2448,-4176,19264,-2046,-9,-4862
2340,-4212,18700,-2112,112,-4637
2024,-4492,18616,-2019,-408,-4303
1652,-4564,18792,-1731,-1273,-4376
2012,-4648,18976,-1594,-1728,-4618
2368,-4428,19164,-1758,-1435,-4968
3304,-4140,18680,-2100,-269,-4891
3016,-4148,18252,-2102,-109,-4717
2672,-4232,18328,-2064,-90,-4548
2428,-4408,18000,-1955,-158,-4485
2292,-4680,18184,-1851,-517,-4592
2608,-4768,18592,-1750,-1018,-4929
3212,-4560,18516,-1704,-1298,-5083
3948,-4448,18716,-1829,-939,-5103
4192,-4296,18700,-1992,-300,-5007
4340,-4168,18404,-2169,119,-4779
3376,-4368,17940,-2050,-11,-4041
3084,-4636,17824,-1817,-598,-4059
3180,-4796,18092,-1537,-1322,-4383
3616,-4508,18252,-1411,-1728,-4601
4108,-4432,18360,-1566,-1535,-4517
4540,-4204,18344,-1674,-894,-4378
4620,-4144,18428,-1876,-333,-4195
4376,-4204,18256,-1865,-86,-4056
4300,-4364,18220,-1712,32,-3849
3840,-4336,18088,-1622,-246,-3896
3884,-4488,18584,-1481,-1145,-3972
4204,-4372,18540,-1590,-1320,-4031
4400,-4248,18488,-1783,-982,-4083
4672,-4320,18276,-1777,-487,-3990
4632,-4292,18204,-1802,-33,-3896
4668,-4260,18028,-1822,337,-3772
4356,-4508,17900,-1688,456,-3691
4208,-4568,18288,-1540,195,-3562
3844,-4564,18496,-1571,-207,-3565
3724,-4772,18420,-1592,-781,-3735
4784,-4804,18204,-1815,-894,-4080
4916,-4664,18096,-1756,-766,-3967
5228,-4496,17840,-1737,-234,-3755
5128,-4460,17776,-1794,624,-3618
4760,-4624,17748,-1694,1291,-3415
4368,-4676,18304,-1653,1516,-3261
4248,-4660,18444,-1742,1579,-3384
4184,-4740,18412,-1770,1298,-3563
4200,-4828,18300,-1669,645,-3676
4364,-4572,18412,-1609,63,-3564
4640,-4696,18172,-1429,-1277,-3337
4832,-4808,18128,-1337,-1439,-3325
5152,-4468,18088,-1286,-1414,-3372
5560,-4324,17776,-1344,-1468,-3374
5700,-4160,17952,-1308,-1260,-3098
5768,-4280,17980,-1311,-899,-2750
5276,-4292,18168,-1272,-925,-2600
5152,-4392,18300,-1293,-1064,-2534
5152,-4440,18444,-1321,-939,-2544
5192,-4420,18504,-1379,-831,-2676
5980,-4212,17916,-1681,-213,-2798
6120,-4332,17764,-1580,-330,-2751
6220,-4120,17804,-1411,-746,-2475
6376,-4136,17688,-1316,-1021,-1955
6232,-4276,18020,-1261,-1046,-1651
5984,-4216,18124,-1265,-965,-1568
6156,-4320,18228,-1277,-875,-1549
6344,-4140,18264,-1328,-824,-1502
6704,-4228,18192,-1422,-793,-1338
7004,-4116,18000,-1418,-809,-1141
7204,-4236,18028,-1623,-522,65
7020,-4412,17972,-1336,-450,-89
7080,-4304,17712,-1282,-551,-234
7148,-4252,17512,-1130,-834,-36
7240,-4232,17624,-864,-938,220
6944,-4312,17728,-714,-836,443
6564,-4388,17864,-497,-638,616
6184,-4572,18216,-531,-554,658
5664,-4608,18600,-632,-593,343
5744,-4936,18660,-800,-849,117
6316,-4804,18264,-934,-1369,982
5956,-4944,18224,-945,-964,1110
5076,-4980,18148,-925,-502,1098
4844,-5188,18304,-971,-31,985
4628,-5248,18320,-1160,462,857
4256,-5332,18212,-1200,777,707
3972,-5392,18088,-1118,774,447
3748,-5316,18100,-989,555,301
3640,-5128,18244,-921,461,238
3412,-5120,18164,-1025,463,100
3532,-5208,18456,-1336,1834,-346
3516,-5456,18344,-1455,2336,-526
3608,-5664,18028,-1370,2201,-786
3732,-5364,18044,-1087,1588,-884
3920,-4848,17824,-991,1129,-698
3980,-4820,18092,-953,1101,-492
3576,-4948,18148,-955,1550,-338
3160,-5252,18340,-1057,2038,-469
2932,-5448,18592,-1099,2121,-720
2680,-5484,18532,-1145,1698,-1112
3488,-5072,18272,-1105,1345,-1672
3664,-4940,18316,-1153,1522,-1483
3512,-4880,18548,-1267,1469,-1326
3236,-5160,18420,-1346,1629,-1248
2932,-5256,18124,-1392,2170,-1437
2612,-5384,18100,-1321,2548,-1722
2676,-5268,18056,-1389,2552,-2130
2736,-5168,18012,-1428,2269,-2535
3084,-5240,17844,-1266,1768,-2758
3232,-5000,17968,-1168,979,-2758
3736,-4748,18284,-1294,334,-2497
3876,-4804,18264,-1469,1046,-2494
3392,-4876,18300,-1631,1617,-2646
3204,-4984,18296,-1709,1717,-2905
3236,-4848,18208,-1615,1414,-3146
3376,-4736,18084,-1584,841,-3313
3424,-4560,17860,-1610,309,-3452
3604,-4652,17904,-1647,-54,-3534
3596,-4644,17704,-1562,-351,-3565
3808,-4660,18068,-1554,-504,-3551
4324,-4592,18180,-2125,51,-4003
4516,-4388,17988,-2196,526,-4158
4448,-4388,17792,-2371,747,-4084
4452,-4632,17608,-2333,740,-4003
4276,-4704,17672,-2148,617,-4013
4192,-4868,17712,-1861,397,-3873
4132,-5004,17984,-1678,36,-3808
4116,-4996,18128,-1798,16,-3975
4276,-4992,18420,-1899,321,-4305
4528,-4692,18308,-1941,654,-4422
4120,-4624,17912,-1875,618,-3995
3716,-4640,17980,-1780,479,-3795
3244,-4924,17968,-1603,269,-3707
2972,-4920,18112,-1682,343,-3829
3124,-4924,18172,-1809,788,-4231
3452,-4872,18068,-1848,1243,-4460
3496,-4868,17736,-1701,1186,-4603
3620,-4832,17688,-1572,665,-4698
3760,-4728,17892,-1228,116,-4687
3788,-4896,18004,-955,-301,-4395
4064,-4820,17980,-747,-187,-4552
4700,-5000,17988,-725,63,-4481
5144,-4844,17520,-576,158,-4313
5180,-4588,17512,-445,-188,-4267
5460,-4404,17596,-174,-715,-4009
5392,-4288,17620,-23,-994,-3679
5148,-4384,17840,46,-981,-3683
5072,-4416,18044,4,-825,-3739
5300,-4496,18028,-17,-572,-3902
5636,-4092,17740,-158,-283,-4068
