AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-3592,20,18808,-1501,884,280
-3568,-224,18876,-1498,994,139
-3420,-64,18768,-1563,1172,81
-3576,60,18748,-1575,1373,126
-3788,-116,19024,-1621,1487,196
-3860,-136,18884,-1597,1460,276
-3724,-380,18676,-1479,1384,350
-3740,-452,18768,-1481,1449,349
-4060,-768,18884,-1375,1435,404
-4140,-1176,19052,-1179,1286,269
-4512,-1408,19132,-996,1279,8
-4556,-1528,19092,-877,1318,-313
-4468,-1292,18984,-888,1456,-633
-4728,1804,19704,-1014,1422,224
-4480,-1720,19308,-1071,1500,149
-4992,-1724,19448,-755,1569,-914
-5132,-1388,19492,-640,1335,-786
-5160,-1536,19444,-656,1400,-746
-5140,-1344,19504,-734,1270,-811
-4924,-1244,19572,-862,1197,-760
-6824,576,20164,-1613,491,1660
-4856,-1508,19228,-1617,1129,-303
-4852,-1568,19080,-1550,1333,-1310
-4924,-1600,18836,-1602,1330,-1344
-4988,-1856,18916,-1419,1208,-1340
-5144,-2020,18864,-1227,1087,-1275
-5432,-2028,18984,-964,999,-1229
-5780,-2040,19132,-730,761,-1151
-5948,-1900,19376,-821,613,-1197
-6016,-2328,19532,-1039,620,-1437
-6032,-2108,19296,-1311,728,-1820
-5968,-2140,19428,-1659,883,-2293
-5868,-1964,19528,-2005,944,-2636
-4948,-2840,18640,-2318,397,-1450
-5468,-2744,19316,-2364,831,-2421
-5700,-2404,19100,-2026,727,-3151
-5468,-2084,18904,-1766,636,-3092
-5404,-2268,18944,-1504,586,-3144
-5668,-2376,19096,-1220,333,-3284
-5756,-2316,19172,-863,89,-3444
-5740,-2004,19528,-463,-108,-3447
-5564,-1648,19728,-292,-363,-3345
-5412,-1416,19936,-179,-554,-3155
-5104,-1032,20084,-210,-596,-2910
-5200,-1076,20228,-350,-594,-2820
-5160,-948,20116,-525,-518,-2862
-5100,-1032,20128,-785,-467,-2965
-5196,-1192,19852,-876,-356,-3191
-5452,-1336,19584,-886,-366,-3300
-5508,-1392,19572,-755,-439,-3305
-5560,-1528,19384,-495,-549,-3124
-6912,908,20028,-547,-1206,-968
